archive  size       crc          hash        
0        801        1963073991   -781496377  
0        449        3329463311   1240520705  
0        265        691321208    1667830688  
0        105        3286450405   1473384341  
0        706        3244260711   1815799974  
0        104        1464815107   -1590579136 
0        93         2707698145   1955138469  
0        838        1545267719   1217207971  
0        860        499948213    1631316717  
0        1009       2976216822   -1547538433 
0        1031       2906659771   -2062667766 
0        469        2747778027   1648265359  
0        97         746747125    315439314   
0        196        2670084452   1406296885  
0        311        1405983383   -938347370  
0        2608       3390521288   -1990709344 
0        1540       709726085    2106570006  
0        881        4030985472   8869591     
0        1155       1495640691   1101004547  
0        146        1886835375   -1926948384 
0        507        3865778343   465745983   
0        413        4149719455   -1065596014 
0        34         1630501472   431988106   
0        66         3064281624   -1937931744 
0        306        3366431910   -913779585  
0        177        3177437445   -183294487  
0        244        2414457945   -1062335877 
0        379        72742429     -65641641   
0        82         912544777    -168046400  
0        437        2887617643   -379692510  
0        180        2454667610   -1354222309 
0        839        1575116838   887766041   
0        3191       3493557594   -1902632070 
0        63         1583875527   -459156838  
0        925        598925107    478704256   
0        1209       3837255452   -171387     
0        652        2053335367   -692947447  
0        144        1771979070   663139412   
0        95         42984267     -1783011507 
0        400        862764135    -1593087050 
0        177        3924871660   -2137478443 
0        454        40946468     1286413630  
0        467        242237182    -944139067  
0        958        3562431458   658799581   
0        535        1622727755   1764705472  
0        313        1178275246   838717275   
0        66         2303069976   -33215093   
0        368        19360334     560167583   
0        59         1035376138   1345892621  
0        2510       1524662003   -551666398  
0        108        3699835192   1863054160  
0        132        2540493114   1726590512  
0        219        3441233013   1761334637  
0        128        2424959564   1653395635  
0        63         1387314407   -467447187  
0        152        2055147414   -1619103039 
0        178        3247945803   -1379976509 
0        109        3184658017   -434646287  
0        174        1187318447   -484327691  
0        643        2674640921   657306668   
0        68         150914209    759365539   
0        96         2388879308   -1158996880 
0        117        2522166691   -931665927  
0        2092       522471175    -1082371181 
0        134        2478682373   1724709024  
0        115        907236899    -1084066394 
0        134        3708366144   -1826999273 
0        132        2011466257   -667933017  
0        248        2188360676   -742548546  
0        202        811729215    -1506429207 
0        493        1666871678   191061709   
0        283        2869790131   -179426747  
0        1195       582918506    569979014   
0        216        2438052314   -1298955348 
0        689        2841158547   1963558124  
0        71         3905405559   1079972787  
0        339        2525916671   -781857437  
0        161        1865505450   -572337983  
0        189        500810350    771512151   
0        329        580228293    -1625270735 
0        77         558971030    989504967   
0        4057       81317366     105141078   
0        154        4021842337   648455612   
0        192        2698795023   -1787874340 
0        159        684300523    1007364230  
